state,annual_increase,total_increase
alabama,122.5291,612.6455
alaska,444.5233,2222.6165
arizona,155.6539,778.2695
arkansas,279.0826,1395.413
california,31.239,156.195
colorado,244.2088,1221.044
connecticut,141.1219,705.6095
delaware,179.1113,895.5565
florida,117.1427,585.7135
georgia,192.1559,960.7795
hawaii,38.12723,190.63615
idaho,344.3781,1721.8905
illinois,235.5311,1177.6555
indiana,187.1837,935.9185
iowa,172.4375,862.1875
kansas,297.5784,1487.892
kentucky,-1,-5
louisiana,250.4503,1252.2515
maine,240.6324,1203.162
maryland,-35.09122,-175.4561
massachusetts,73.81676,369.0838
michigan,184.7478,923.739
minnesota,326.2239,1631.1195
mississippi,251.0593,1255.2965
missouri,351.4965,1757.4825
montana,438.5341,2192.6705
nebraska,268.8909,1344.4545
nevada,214.849,1074.245
new hampshire,495.9406,2479.703
new jersey,1.9576,9.788
new mexico,219.2477,1096.2385
new york,53.968,269.84
north carolina,-1,-5
north dakota,347.0636,1735.318
ohio,231.5785,1157.8925
oklahoma,355.66,1778.3
oregon,250.3293,1251.6465
pennsylvania,283.2584,1416.292
rhode Island,120.2171,601.0855
south carolina,212.2487,1061.2435
south dakota,437.1897,2185.9485
tennessee,324.1582,1620.791
texas,215.7868,1078.934
utah,-1,-5
vermont,222.35,1111.75
virginia,222.4,1112
west virginia,375.9747,1879.8735
washington,306.24,1531.2
wisconsin,289.136,1445.68
wyoming,391.9716,1959.858
